epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,508.765,0.82916,0.40846,2.59453,1.21234,0.02793,0.9034,0.21354,0.11378,0.02793,0.9034,0.21092,0.11225,1.25391,0.38413,3.48706,1.64868,0.000228361,0.000228361,0.000228361
31,525.674,0.91264,0.37671,2.65041,1.25478,0.02793,0.9034,0.21354,0.11378,0.02793,0.9034,0.21092,0.11225,1.25391,0.38413,3.48706,1.64868,0.000225123,0.000225123,0.000225123
32,542.577,0.99528,0.52997,2.60147,1.32989,0.53131,0.1603,0.19969,0.10297,0.53131,0.1603,0.20032,0.10267,1.3031,0.3817,3.4566,1.67629,0.000221165,0.000221165,0.000221165
33,559.306,0.9111,0.32554,2.61511,1.28155,0.53497,0.08377,0.22769,0.123,0.53497,0.08377,0.22769,0.11561,1.28198,0.38969,3.41502,1.64994,0.000216487,0.000216487,0.000216487
34,576.018,0.78958,0.37424,2.54725,1.20256,0.53497,0.08377,0.22769,0.123,0.53497,0.08377,0.22769,0.11561,1.28198,0.38969,3.41502,1.64994,0.00021109,0.00021109,0.00021109
35,593.207,0.89683,0.4151,2.47761,1.27889,0.58658,0.22194,0.23029,0.1271,0.58658,0.22194,0.23029,0.11873,1.28114,0.38091,3.3737,1.68299,0.000204972,0.000204972,0.000204972
36,612.646,0.8981,0.47307,2.47347,1.24455,0.46029,0.22061,0.2233,0.13038,0.46029,0.22061,0.2233,0.12303,1.32571,0.39198,3.37608,1.71345,0.000198135,0.000198135,0.000198135
37,632.154,0.90512,0.54688,2.5603,1.23138,0.46029,0.22061,0.2233,0.13038,0.46029,0.22061,0.2233,0.12303,1.32571,0.39198,3.37608,1.71345,0.000190577,0.000190577,0.000190577
38,651.494,0.8228,0.28614,2.2998,1.19721,0.81707,0.1389,0.21419,0.12514,0.81707,0.1389,0.20575,0.11934,1.31168,0.4017,3.38662,1.69895,0.0001823,0.0001823,0.0001823
39,670.105,0.85655,0.32053,2.44478,1.29338,0.83652,0.13589,0.23045,0.13252,0.83652,0.13589,0.21877,0.12779,1.25537,0.3997,3.3557,1.62314,0.000173303,0.000173303,0.000173303
40,688.106,0.82913,0.31522,2.39544,1.24235,0.83652,0.13589,0.23045,0.13252,0.83652,0.13589,0.21877,0.12779,1.25537,0.3997,3.3557,1.62314,0.000163585,0.000163585,0.000163585
41,706.789,0.72055,0.26254,2.49476,1.22675,0.26305,0.26837,0.24916,0.14331,0.26383,0.26837,0.234,0.14027,1.22251,0.38888,3.28406,1.59385,0.000153148,0.000153148,0.000153148
42,724.532,0.85559,0.25034,2.72375,1.3227,0.30054,0.40068,0.28255,0.18396,0.30054,0.40068,0.28255,0.17793,1.16003,0.36787,3.18758,1.53836,0.000141991,0.000141991,0.000141991
43,742.449,0.78325,0.2913,2.3567,1.24162,0.30054,0.40068,0.28255,0.18396,0.30054,0.40068,0.28255,0.17793,1.16003,0.36787,3.18758,1.53836,0.000130114,0.000130114,0.000130114
44,762.604,0.80962,0.21355,2.46172,1.29615,0.28505,0.45425,0.31642,0.20171,0.29069,0.47211,0.32728,0.19721,1.10771,0.36289,3.13299,1.50429,0.000117517,0.000117517,0.000117517
45,781.712,0.84579,0.24039,2.63165,1.30852,0.28505,0.45425,0.31642,0.20171,0.29069,0.47211,0.32728,0.19721,1.10771,0.36289,3.13299,1.50429,0.0001042,0.0001042,0.0001042
46,800.137,0.75323,0.32894,2.46702,1.21182,0.17384,0.58282,0.34998,0.23807,0.17984,0.60068,0.36139,0.23042,1.09476,0.35619,3.0638,1.49549,9.01637e-05,9.01637e-05,9.01637e-05
47,818.552,0.76871,0.3427,2.39076,1.23512,0.17384,0.58282,0.34998,0.23807,0.17984,0.60068,0.36139,0.23042,1.09476,0.35619,3.0638,1.49549,7.5407e-05,7.5407e-05,7.5407e-05
48,836.993,0.85554,0.27002,2.42192,1.33462,0.19798,0.52568,0.39305,0.25478,0.19798,0.52568,0.39305,0.24386,1.12068,0.35599,3.08004,1.49841,5.99304e-05,5.99304e-05,5.99304e-05
49,855.407,0.77037,0.19248,2.3731,1.29506,0.19798,0.52568,0.39305,0.25478,0.19798,0.52568,0.39305,0.24386,1.12068,0.35599,3.08004,1.49841,4.37338e-05,4.37338e-05,4.37338e-05
50,873.943,0.79194,0.31511,2.36706,1.20858,0.23015,0.55425,0.39335,0.24359,0.17716,0.5391,0.37272,0.22882,1.12423,0.36477,3.07239,1.4992,2.68173e-05,2.68173e-05,2.68173e-05
