epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,406.699,0.94808,2.37831,1.26883,0.14446,0.50782,0.19106,0.11906,1.34965,3.2493,1.75713,0.000540037,0.000540037,0.000540037
43,416.934,0.95924,2.45682,1.29655,0.28364,0.32908,0.1757,0.10902,1.25917,3.77596,1.68445,0.000531038,0.000531038,0.000531038
44,427.246,0.81518,2.25605,1.23125,0.28364,0.32908,0.1757,0.10902,1.25917,3.77596,1.68445,0.000522039,0.000522039,0.000522039
45,437.572,0.96177,2.46749,1.28838,0.426,0.31122,0.17607,0.10749,1.04355,3.71376,1.64496,0.00051304,0.00051304,0.00051304
46,447.979,0.92858,2.32176,1.23821,0.426,0.31122,0.17607,0.10749,1.04355,3.71376,1.64496,0.00050404,0.00050404,0.00050404
47,458.621,0.78338,2.31294,1.19703,0.10681,0.4517,0.1703,0.10077,1.03936,3.57741,1.68567,0.000495041,0.000495041,0.000495041
48,468.645,0.91027,2.37691,1.24413,0.10681,0.4517,0.1703,0.10077,1.03936,3.57741,1.68567,0.000486042,0.000486042,0.000486042
49,479.079,0.87048,2.28337,1.2255,0.12891,0.44915,0.16307,0.0875,1.07919,3.46725,1.6865,0.000477043,0.000477043,0.000477043
50,490.092,1.08819,2.49339,1.3546,0.12891,0.44915,0.16307,0.0875,1.07919,3.46725,1.6865,0.000468044,0.000468044,0.000468044
51,501.188,0.89734,2.147,1.16053,0.16814,0.45098,0.18924,0.1013,1.27376,3.38702,1.72199,0.000459045,0.000459045,0.000459045
52,511.55,0.76653,2.18729,1.18327,0.16814,0.45098,0.18924,0.1013,1.27376,3.38702,1.72199,0.000450046,0.000450046,0.000450046
53,522.099,0.83034,2.15538,1.17076,0.18051,0.45661,0.19601,0.10558,1.33196,3.42311,1.75171,0.000441047,0.000441047,0.000441047
54,532.729,0.90602,2.26226,1.22127,0.18051,0.45661,0.19601,0.10558,1.33196,3.42311,1.75171,0.000432048,0.000432048,0.000432048
55,543.345,0.96726,2.21775,1.29088,0.19647,0.55374,0.25553,0.1465,1.2736,3.5311,1.72091,0.000423049,0.000423049,0.000423049
56,553.764,0.83624,2.33514,1.19027,0.19647,0.55374,0.25553,0.1465,1.2736,3.5311,1.72091,0.000414049,0.000414049,0.000414049
57,564.304,0.80309,2.02403,1.16074,0.21111,0.44303,0.23866,0.14307,1.58142,3.57517,2.14654,0.00040505,0.00040505,0.00040505
58,575.117,0.94391,2.25679,1.31443,0.21111,0.44303,0.23866,0.14307,1.58142,3.57517,2.14654,0.000396051,0.000396051,0.000396051
59,585.484,0.86997,2.02981,1.18775,0.26565,0.35529,0.23882,0.15095,1.73143,3.46465,2.20199,0.000387052,0.000387052,0.000387052
60,596.238,0.74683,2.1055,1.14486,0.26565,0.35529,0.23882,0.15095,1.73143,3.46465,2.20199,0.000378053,0.000378053,0.000378053
61,606.921,0.89325,2.09374,1.20615,0.26993,0.33827,0.25173,0.14942,1.80167,3.42108,2.2276,0.000369054,0.000369054,0.000369054
62,616.854,0.77057,2.06931,1.14452,0.26993,0.33827,0.25173,0.14942,1.80167,3.42108,2.2276,0.000360055,0.000360055,0.000360055
63,628.044,0.83482,2.20196,1.32745,0.27469,0.35731,0.25857,0.1416,1.85607,3.40108,2.24466,0.000351056,0.000351056,0.000351056
64,639.002,0.71956,2.04543,1.16917,0.27469,0.35731,0.25857,0.1416,1.85607,3.40108,2.24466,0.000342057,0.000342057,0.000342057
65,649.983,0.85571,1.93774,1.12233,0.34174,0.40171,0.28049,0.15142,1.88262,3.41394,2.23695,0.000333058,0.000333058,0.000333058
66,660.614,0.75573,1.9448,1.14065,0.34174,0.40171,0.28049,0.15142,1.88262,3.41394,2.23695,0.000324058,0.000324058,0.000324058
67,671.669,0.7194,2.00399,1.13978,0.33439,0.37164,0.2804,0.17734,1.87725,3.38505,2.22807,0.000315059,0.000315059,0.000315059
68,683.07,0.84465,2.03272,1.18071,0.33439,0.37164,0.2804,0.17734,1.87725,3.38505,2.22807,0.00030606,0.00030606,0.00030606
69,693.696,0.73322,2.03401,1.18403,0.22368,0.43094,0.28396,0.18499,1.91464,3.45387,2.24047,0.000297061,0.000297061,0.000297061
70,704.618,0.72122,1.94321,1.13669,0.22368,0.43094,0.28396,0.18499,1.91464,3.45387,2.24047,0.000288062,0.000288062,0.000288062
71,715.438,0.75791,2.01472,1.17473,0.31328,0.31576,0.29914,0.19921,1.73915,3.54935,2.01908,0.000279063,0.000279063,0.000279063
72,726.219,0.71102,1.89201,1.11526,0.31328,0.31576,0.29914,0.19921,1.73915,3.54935,2.01908,0.000270064,0.000270064,0.000270064
73,737.274,0.74005,1.88354,1.13632,0.27548,0.34651,0.28527,0.18245,1.30181,3.48433,1.69588,0.000261065,0.000261065,0.000261065
74,747.814,0.74789,1.98625,1.16313,0.27548,0.34651,0.28527,0.18245,1.30181,3.48433,1.69588,0.000252066,0.000252066,0.000252066
75,758.553,0.75185,2.02751,1.15321,0.22318,0.36722,0.29466,0.17931,1.32221,3.2638,1.63456,0.000243067,0.000243067,0.000243067
76,768.973,0.76271,1.8427,1.12578,0.22318,0.36722,0.29466,0.17931,1.32221,3.2638,1.63456,0.000234068,0.000234068,0.000234068
77,780.174,0.93585,2.06226,1.17829,0.21474,0.33486,0.27601,0.16974,1.41701,3.20407,1.68662,0.000225068,0.000225068,0.000225068
78,791.201,0.9313,2.20426,1.24948,0.21474,0.33486,0.27601,0.16974,1.41701,3.20407,1.68662,0.000216069,0.000216069,0.000216069
79,802.019,0.68344,1.92998,1.08119,0.17561,0.32285,0.30648,0.19452,1.48185,3.26877,1.71426,0.00020707,0.00020707,0.00020707
80,845.83,0.89143,2.03555,1.28373,0.17561,0.32285,0.30648,0.19452,1.48185,3.26877,1.71426,0.000198071,0.000198071,0.000198071
81,856.265,1.11409,2.44857,1.48209,0.15159,0.49137,0.30676,0.18039,1.45492,3.30448,1.70164,0.000189072,0.000189072,0.000189072
82,866.639,0.72167,1.77373,1.12261,0.15159,0.49137,0.30676,0.18039,1.45492,3.30448,1.70164,0.000180073,0.000180073,0.000180073
83,876.338,0.83509,2.01873,1.14869,0.73683,0.21224,0.30334,0.18284,1.41496,3.29205,1.70785,0.000171074,0.000171074,0.000171074
84,885.761,0.69939,1.97493,1.14213,0.73683,0.21224,0.30334,0.18284,1.41496,3.29205,1.70785,0.000162075,0.000162075,0.000162075
85,894.791,0.74896,1.79985,1.09417,0.13768,0.45754,0.34052,0.20147,1.33229,3.2733,1.67194,0.000153076,0.000153076,0.000153076
86,904.401,0.82448,1.91042,1.17029,0.13768,0.45754,0.34052,0.20147,1.33229,3.2733,1.67194,0.000144077,0.000144077,0.000144077
87,913.618,0.65896,1.85803,1.14326,0.12306,0.53427,0.33132,0.20308,1.27623,3.22922,1.65001,0.000135077,0.000135077,0.000135077
88,923.521,0.77601,1.81511,1.13405,0.12306,0.53427,0.33132,0.20308,1.27623,3.22922,1.65001,0.000126078,0.000126078,0.000126078
89,933.534,0.60342,1.65133,1.09465,0.19263,0.35065,0.32526,0.20195,1.23591,3.2979,1.64216,0.000117079,0.000117079,0.000117079
90,942.736,0.75933,1.99008,1.12732,0.19263,0.35065,0.32526,0.20195,1.23591,3.2979,1.64216,0.00010808,0.00010808,0.00010808
91,952.398,0.64029,2.63317,1.02829,0.14237,0.48639,0.28673,0.19749,1.17898,3.37742,1.63537,9.9081e-05,9.9081e-05,9.9081e-05
92,962.611,0.746,2.26861,1.15571,0.14237,0.48639,0.28673,0.19749,1.17898,3.37742,1.63537,9.00819e-05,9.00819e-05,9.00819e-05
93,972.881,0.80908,2.61019,1.17848,0.23239,0.28545,0.30277,0.20273,1.13756,3.45621,1.61792,8.10828e-05,8.10828e-05,8.10828e-05
94,1208.7,0.97137,2.48549,1.43865,0.23239,0.28545,0.30277,0.20273,1.13756,3.45621,1.61792,7.20837e-05,7.20837e-05,7.20837e-05
95,1218.14,0.70766,2.18054,1.09506,0.21294,0.25653,0.26745,0.18513,1.17192,3.42174,1.63751,6.30846e-05,6.30846e-05,6.30846e-05
96,1227.35,0.91021,2.57945,1.22264,0.21294,0.25653,0.26745,0.18513,1.17192,3.42174,1.63751,5.40855e-05,5.40855e-05,5.40855e-05
97,1236.64,0.69252,2.28678,1.13273,0.12675,0.36241,0.23791,0.17285,1.19918,3.42068,1.62821,4.50864e-05,4.50864e-05,4.50864e-05
98,1246.37,0.66296,2.10047,1.11622,0.12675,0.36241,0.23791,0.17285,1.19918,3.42068,1.62821,3.60873e-05,3.60873e-05,3.60873e-05
99,1255.56,0.54835,1.96785,1.09894,0.17766,0.36241,0.27674,0.1855,1.19749,3.44072,1.63082,2.70882e-05,2.70882e-05,2.70882e-05
100,1265.11,0.68527,2.06709,1.11768,0.17766,0.36241,0.27674,0.1855,1.19749,3.44072,1.63082,1.80891e-05,1.80891e-05,1.80891e-05
